,school_id,mean,intervention,remoteness_index,cct_percentage,student_classroom_ratio,student_teacher_ratio,pwd_total,female_percentage,male_percentage,pca
4621,109486,16.134,1,0.00505962,0.003859514,0.006866323,0.033736979,0,0.373600926,0.299112312,0.000999999
4622,109487,16.188,1,0.011151529,0.0234375,0.010332109,0.037171717,0,0.363903986,0.311480978,0.001000055
4623,109488,15.684,1,0.015006812,0.003309067,0.012263018,0.04061828,0,0.375027576,0.302448709,0.000999999
4624,109489,15.012,1,0.008342579,0.052463504,0.007490483,0.034465409,0,0.353406326,0.314096715,0.001000055
4625,109491,15.546,1,0.005084198,0,0.006295286,0.037407407,0,0.353685369,0.311881188,0.001000055
4626,109492,15.65,1,0.006910015,0.105693614,0.011156852,0.037845238,0,0.372024746,0.295690469,0.001000055
4627,109493,16.264,1,0.011839721,0.232380952,0.005244074,0.029166667,0,0.378412698,0.295238095,0.000999999
4628,109494,17.226,0,0.006278002,0.015144766,0.006073345,0.035977564,0.011011011,0.348626578,0.281291759,0.000999999
4629,109495,18.17,0,0.007640342,0.001747379,0.013004805,0.040220884,0.003503504,0.36445332,0.294183724,0.001000055
4630,109496,16.402,1,0.014662715,0.002202643,0.008669615,0.037833333,0,0.38267254,0.305726872,0.001000055
4631,109497,14,1,0.012527914,0.323529412,0.002207506,0.028333333,0,0.333333333,0.367647059,0
4632,109498,16.164,1,0.01260516,0.09047619,0.003895598,0.029166667,0,0.33968254,0.316666667,0.000999999
4633,109499,16.334,1,0.006278002,0.096174863,0.005940787,0.034659091,0,0.381056466,0.28852459,0.000999999
4634,109500,16.6,1,0.011337622,0.162162162,0.001601524,0.015416667,0,0.378378378,0.310810811,0
4635,109501,15.4,1,0.009989326,0.03988604,0.015192832,0.0325,0,0.374169041,0.292022792,0.000999999
4636,109502,12.718,1,0.010463336,0.581395349,0.002791845,0.015357143,0,0.273901809,0.360465116,0.000999999
4637,109503,13.462,1,0.01080041,0.353233831,0.003262563,0.027916667,0,0.371475954,0.300995025,0.000999999
4638,109504,15.012,1,0.005210601,0.15407855,0.003907403,0.022986111,0,0.334340383,0.305135952,0.000999999
4639,109505,13.912,1,0.017450598,0,0.004995022,0.030052083,0,0.395147314,0.270363951,0.000999999
4640,109506,16.282,1,0.006278002,0.027888446,0.005703805,0.031152482,0.004504505,0.344147221,0.290552077,0.001000055
